순번	소분류	발행기관	학술지명	발행국가	ISSN	IF값	IF상위값
11862	국제전문학술지(SCIE)	POLSKIE TOWARZYSTWO LESNE	SYLWAN	폴란드	00397660	0.6	76.6
9833	국제전문학술지(SCIE)	EDIZIONI MINERVA MEDICA	MINERVA GASTROENTEROLOGY	이탈리아	27245985	1.5	76.7
8216	국제전문학술지(SCIE)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE	영국	15332640	1.2	76.7
14236	국제전문학술지(SSCI)	SAGE PUBLICATIONS INC	JOURNAL OF DRUG ISSUES	미국	00220426	1.2	76.7
14302	국제전문학술지(SSCI)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE	영국	15332640	1.2	76.7
9285	국제전문학술지(SCIE)	PLEIADES PUBLISHING LTD	JOURNAL OF VOLCANOLOGY AND SEISMOLOGY	러시아	07420463	0.9	76.7
6735	국제전문학술지(SCIE)	ASSOC BRASILEIRA HORTICULTURA	HORTICULTURA BRASILEIRA	브라질	01020536	0.8	76.7
6739	국제전문학술지(SCIE)	KOREAN SOC HORTICULTURAL SCIENCE	HORTICULTURAL SCIENCE & TECHNOLOGY	대한민국	12268763	0.8	76.7
9173	국제전문학술지(SCIE)	PROFESSIONAL ASSOC CACTUS DEVELOPMENT	JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT	미국	1938663X	0.8	76.7
4642	국제전문학술지(SCIE)	CAMBRIDGE UNIV PRESS	CARDIOLOGY IN THE YOUNG	영국	10479511	0.7	76.7
4982	국제전문학술지(SCIE)	SAGE PUBLICATIONS INC	CLINICAL PEDIATRICS	미국	00099228	0.7	76.7
6760	국제전문학술지(SCIE)	KARGER	HUMAN HEREDITY	스위스	00015652	1.5	76.8
9556	국제전문학술지(SCIE)	ELSEVIER	MARINE GENOMICS	네덜란드	18747787	1.5	76.8
10203	국제전문학술지(SCIE)	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	NEW GENETICS AND SOCIETY	영국	14636778	1.5	76.8
5197	국제전문학술지(SCIE)	TECH SCIENCE PRESS	CONGENITAL HEART DISEASE	미국	1747079X	1.2	76.8
8149	국제전문학술지(SCIE)	CHURCHILL LIVINGSTONE INC MEDICAL PUBLISHERS	JOURNAL OF ELECTROCARDIOLOGY	미국	00220736	1.2	76.8
9323	국제전문학술지(SCIE)	WALTER DE GRUYTER GMBH	KERNTECHNIK	독일	09323902	0.9	76.8
11476	국제전문학술지(SCIE)	WILEY	SCIENCE AND TECHNOLOGY OF NUCLEAR INSTALLATIONS	영국	16876075	0.9	76.8
12384	국제전문학술지(SCIE)	THIEME MEDICAL PUBL INC	ZEITSCHRIFT FUR ORTHOPADIE UND UNFALLCHIRURGIE	미국	18646697	0.9	76.8
